5.799999833106994629e-01 9.329921007156372070e-01 9.281147122383117676e-01
2.199999988079071045e-01 -8.051095962524414062e+00 -8.057942390441894531e+00
2.000000029802322388e-01 -8.892475128173828125e+00 -8.880002975463867188e+00
4.399999976158142090e-01 -1.482257246971130371e-01 -1.497380286455154419e-01
3.999999910593032837e-02 -1.249386405944824219e+01 -1.249238777160644531e+01
5.600000023841857910e-01 9.181561470031738281e-01 9.175657629966735840e-01
8.999999761581420898e-01 -6.382975578308105469e+00 -6.385188102722167969e+00
6.399999856948852539e-01 7.032455205917358398e-01 6.978489756584167480e-01
5.199999809265136719e-01 7.636120319366455078e-01 7.640054225921630859e-01
7.999999821186065674e-02 -1.205405712127685547e+01 -1.206272411346435547e+01
6.600000262260437012e-01 5.277643203735351562e-01 5.287826061248779297e-01
8.199999928474426270e-01 -3.066062450408935547e+00 -3.065862417221069336e+00
5.400000214576721191e-01 8.643157482147216797e-01 8.633636236190795898e-01
6.999999880790710449e-01 3.509455919265747070e-02 3.281548991799354553e-02
6.800000071525573730e-01 3.067214488983154297e-01 3.085720241069793701e-01
1.400000005960464478e-01 -1.085540771484375000e+01 -1.085956668853759766e+01
2.800000011920928955e-01 -5.352682113647460938e+00 -5.347594738006591797e+00
9.200000166893005371e-01 -7.221692085266113281e+00 -7.219862937927246094e+00
3.600000143051147461e-01 -2.134651660919189453e+00 -2.134232282638549805e+00
9.599999785423278809e-01 -8.703262329101562500e+00 -8.705621719360351562e+00
8.399999737739562988e-01 -3.837112188339233398e+00 -3.839416742324829102e+00
